Number of trabsactions: 952
1962-05-29 buy-low GE 1
1962-05-29 sell-close GE 1
1962-07-02 buy-low GE 2
1962-07-02 sell-close GE 2
1962-10-24 buy-open GE 2
1962-10-24 sell-high GE 2
1963-02-21 buy-open GE 1
1963-02-21 sell-high GE 1
1963-03-06 buy-low GE 1
1963-03-06 sell-close GE 1
1963-03-11 buy-low GE 1
1963-03-11 sell-close GE 1
1963-04-03 buy-low GE 1
1963-04-03 sell-close GE 1
1963-04-05 buy-open GE 1
1963-04-05 sell-high GE 1
1963-10-28 buy-open GE 1
1963-10-28 sell-high GE 1
1963-11-29 buy-open GE 1
1963-11-29 sell-high GE 1
1964-03-26 buy-open GE 1
1964-03-26 sell-high GE 1
1964-05-21 buy-low GE 1
1964-05-21 sell-close GE 1
1964-07-29 buy-open GE 1
1964-07-29 sell-high GE 1
1964-08-28 buy-open GE 1
1964-08-28 sell-high GE 1
1964-09-02 buy-low GE 1
1964-09-02 sell-close GE 1
1964-10-15 buy-low GE 1
1964-10-15 sell-close GE 1
1965-06-15 buy-low GE 1
1965-06-15 sell-close GE 1
1965-09-24 buy-open GE 1
1965-09-24 sell-high GE 1
1965-09-27 buy-open GE 1
1965-09-27 sell-high GE 1
1965-09-29 buy-low GE 1
1965-09-29 sell-close GE 1
1966-02-02 buy-low GE 1
1966-02-02 sell-close GE 1
1966-07-06 buy-low GE 1
1966-07-06 sell-close GE 1
1966-09-12 buy-open GE 1
1966-09-12 sell-high GE 1
1966-09-14 buy-open GE 1
1966-09-14 sell-high GE 1
1967-01-12 buy-open GE 1
1967-01-12 sell-high GE 1
1967-04-13 buy-open GE 1
1967-04-13 sell-high GE 1
1967-04-14 buy-open GE 1
1967-04-14 sell-high GE 1
1967-07-14 buy-open GE 1
1967-07-14 sell-high GE 1
1967-07-18 buy-open GE 1
1967-07-18 sell-high GE 1
1967-07-20 buy-low GE 1
1967-07-20 sell-close GE 1
1967-10-03 buy-open GE 1
1967-10-03 sell-high GE 1
1968-05-03 buy-open GE 1
1968-05-03 sell-high GE 1
1968-06-20 buy-open GE 1
1968-06-20 sell-high GE 1
1968-09-09 buy-open GE 1
1968-09-09 sell-high GE 1
1968-10-21 buy-low GE 1
1968-10-21 sell-close GE 1
1968-12-19 buy-low GE 1
1968-12-19 sell-close GE 1
1969-03-10 buy-open GE 1
1969-03-10 sell-high GE 1
1969-03-20 buy-open GE 1
1969-03-20 sell-high GE 1
1969-03-27 buy-open GE 1
1969-03-27 sell-high GE 1
1969-04-29 buy-low GE 1
1969-04-29 sell-close GE 1
1969-07-29 buy-open GE 2
1969-07-29 sell-high GE 2
1969-10-02 buy-low GE 2
1969-10-02 sell-close GE 2
1969-10-22 buy-open GE 2
1969-10-22 sell-high GE 2
1969-12-04 buy-low GE 2
1969-12-04 sell-close GE 2
1970-02-06 buy-open MO 108
1970-02-06 sell-high MO 108
1970-02-09 buy-open MO 158
1970-02-09 sell-high MO 158
1970-04-13 buy-open MO 232
1970-04-13 sell-high MO 232
1970-04-20 buy-open MO 341
1970-04-20 sell-high MO 341
1970-04-22 buy-open MO 500
1970-04-22 sell-high MO 500
1970-05-28 buy-open MO 735
1970-05-28 sell-high MO 735
1970-10-15 buy-open MO 720
1970-10-15 sell-high MO 720
1970-10-16 buy-open MO 939
1970-10-16 sell-high MO 939
1970-10-30 buy-open MO 1225
1970-10-30 sell-high MO 1225
1971-03-08 buy-open MO 1201
1971-03-08 sell-high MO 1201
1971-08-20 buy-open MO 1177
1971-08-20 sell-high MO 1177
1971-08-23 buy-open MO 1380
1971-08-23 sell-high MO 1380
1971-08-31 buy-open MO 1618
1971-08-31 sell-high MO 1618
1971-09-03 buy-open MO 1897
1971-09-03 sell-high MO 1897
1971-09-20 buy-low MO 2224
1971-09-20 sell-close MO 2224
1971-11-19 buy-low MO 3275
1971-11-19 sell-close MO 3275
1971-11-23 buy-low MO 4032
1971-11-23 sell-close MO 4032
1971-11-24 buy-low MO 4963
1971-11-24 sell-close MO 4963
1972-07-12 buy-open INTC 7427
1972-07-12 sell-high INTC 7427
1972-08-03 buy-open INTC 9764
1972-08-03 sell-high INTC 9764
1972-08-04 buy-open INTC 12835
1972-08-04 sell-high INTC 12835
1972-08-07 buy-open INTC 16872
1972-08-07 sell-high INTC 16872
1972-08-08 buy-open INTC 22180
1972-08-08 sell-high INTC 22180
1972-08-09 buy-open INTC 29157
1972-08-09 sell-high INTC 29157
1972-08-10 buy-open INTC 38328
1972-08-10 sell-high INTC 38328
1972-08-11 buy-open INTC 50385
1972-08-11 sell-high INTC 50385
1972-08-14 buy-open INTC 66234
1972-08-14 sell-high INTC 66234
1973-03-02 buy-open INTC 87069
1973-03-02 sell-high INTC 87069
1973-03-05 buy-open INTC 114457
1973-03-05 sell-high INTC 114457
1973-03-22 buy-open INTC 150461
1973-03-22 sell-high INTC 150461
1973-06-05 buy-open INTC 197790
1973-06-05 sell-high INTC 197790
1973-06-14 buy-low WMT 363767
1973-06-14 sell-close WMT 363767
1973-06-19 buy-open WMT 1084194
1973-06-19 sell-high WMT 1084194
1973-06-28 buy-open WMT 903496
1973-06-28 sell-high WMT 903496
1973-07-02 buy-open WMT 1566055
1973-07-02 sell-high WMT 1566055
1973-07-16 buy-open WMT 1023963
1973-07-16 sell-high WMT 1023963
1974-01-03 buy-open WMT 1566055
1974-01-03 sell-high WMT 1566055
1974-01-08 buy-open WMT 1023963
1974-01-08 sell-high WMT 1023963
1974-01-15 buy-low WMT 240933
1974-01-15 sell-close WMT 240933
1974-01-16 buy-low WMT 481866
1974-01-16 sell-close WMT 481866
1974-02-13 buy-open WMT 1746756
1974-02-13 sell-high WMT 1746756
1974-03-08 buy-low WMT 4156077
1974-03-08 sell-close WMT 4156077
1974-05-03 buy-low WMT 1686526
1974-05-03 sell-close WMT 1686526
1974-08-21 buy-open WMT 722794
1974-08-21 sell-high WMT 722794
1974-12-04 buy-low WMT 2349087
1974-12-04 sell-close WMT 2349087
1975-01-28 buy-open WMT 3011648
1975-01-28 sell-high WMT 3011648
1975-01-30 buy-open WMT 4095843
1975-01-30 sell-high WMT 4095843
1975-02-03 buy-open WMT 3252582
1975-02-03 sell-high WMT 3252582
1975-02-04 buy-low WMT 1204663
1975-02-04 sell-close WMT 1204663
1975-02-13 buy-open WMT 7709824
1975-02-13 sell-high WMT 7709824
1975-05-27 buy-open WMT 2891185
1975-05-27 sell-high WMT 2891185
1975-06-03 buy-open WMT 11323803
1975-06-03 sell-high WMT 11323803
1975-10-23 buy-low WMT 1054077
1975-10-23 sell-close WMT 1054077
1975-12-04 buy-low WMT 722794
1975-12-04 sell-close WMT 722794
1976-02-11 buy-open WMT 6685864
1976-02-11 sell-high WMT 6685864
1976-02-17 buy-open WMT 963725
1976-02-17 sell-high WMT 963725
1976-02-19 buy-open WMT 23249939
1976-02-19 sell-high WMT 23249939
1976-06-11 buy-open WMT 4186194
1976-06-11 sell-high WMT 4186194
1976-06-30 buy-open WMT 23460754
1976-06-30 sell-high WMT 23460754
1976-08-18 buy-open WMT 2770717
1976-08-18 sell-high WMT 2770717
1976-08-19 buy-open WMT 4758406
1976-08-19 sell-high WMT 4758406
1976-08-20 buy-low WMT 421630
1976-08-20 sell-close WMT 421630
1976-08-24 buy-low WMT 20810498
1976-08-24 sell-close WMT 20810498
1977-02-16 buy-open WMT 1566055
1977-02-16 sell-high WMT 1566055
1977-02-18 buy-low WMT 1385361
1977-02-18 sell-close WMT 1385361
1977-02-28 buy-open WMT 873381
1977-02-28 sell-high WMT 873381
1977-03-01 buy-low WMT 542096
1977-03-01 sell-close WMT 542096
1977-03-03 buy-low WMT 1084194
1977-03-03 sell-close WMT 1084194
1977-03-07 buy-low WMT 2740606
1977-03-07 sell-close WMT 2740606
1977-03-10 buy-open WMT 662565
1977-03-10 sell-high WMT 662565
1977-03-11 buy-open WMT 1023963
1977-03-11 sell-high WMT 1023963
1977-04-14 buy-open WMT 1837106
1977-04-14 sell-high WMT 1837106
1978-02-01 buy-open WMT 6023300
1978-02-01 sell-high WMT 6023300
1978-02-10 buy-low WMT 5149921
1978-02-10 sell-close WMT 5149921
